ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
88,artificial-intelligence,191,University of Waterloo,Canada,Waterloo,51.8,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
89,artificial-intelligence,653,Southwest Jiaotong University,China,Chengdu,51.7,46.8,"43,541",https://www.usnews.com/education/best-global-universities/southwest-jiaotong-university-528991
90,artificial-intelligence,37,Monash University,Australia,Clayton,50.9,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
91,artificial-intelligence,217,Deakin University,Australia,Burwood,50.6,62.1,"43,080",https://www.usnews.com/education/best-global-universities/deakin-university-504884
92,artificial-intelligence,377,Shandong University of Science & Technology,China,Qingdao,50.2,55.1,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-of-science-technology-529480
93,artificial-intelligence,782,Shandong Normal University,China,Jinan,50,43.6,N/A,https://www.usnews.com/education/best-global-universities/shandong-normal-university-529300
94,artificial-intelligence,169,Delft University of Technology,Netherlands,Delft,49,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
95,artificial-intelligence,48,Sorbonne Universite,France,Paris,48.5,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
96,artificial-intelligence,441,COMSATS University Islamabad (CUI),Pakistan,Islamabad,47.8,53.4,N/A,https://www.usnews.com/education/best-global-universities/comsats-university-islamabad-cui-529200
97,artificial-intelligence,643,East China University of Science & Technology,China,Shanghai,47.6,47.1,"28,718",https://www.usnews.com/education/best-global-universities/east-china-university-of-science-technology-505997
98,artificial-intelligence,209,Royal Melbourne Institute of Technology (RMIT),Australia,Melbourne (Australia),46.8,62.5,"32,692",https://www.usnews.com/education/best-global-universities/royal-melbourne-institute-of-technology-rmit-503858
99,artificial-intelligence,441,University of Science & Technology Beijing,China,Beijing,46.5,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-science-technology-beijing-506176
100,artificial-intelligence,81,University of Tokyo,Japan,Tokyo,46.3,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
