ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
87,economics-business,194,Northeastern University,United States,Boston,53.2,63.3,"21,211",https://www.usnews.com/education/best-global-universities/northeastern-university-167358
88,economics-business,,BI Norwegian Business School,Norway,Olso,52.6,N/A,N/A,https://www.usnews.com/education/best-global-universities/bi-norwegian-business-school-499993
89,economics-business,30,Nanyang Technological University,Singapore,Singapore,52.6,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
90,economics-business,504,Georgia State University,United States,Atlanta,52.4,51.1,N/A,https://www.usnews.com/education/best-global-universities/georgia-state-university-139940
91,economics-business,93,Zhejiang University,China,Hangzhou,52.4,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
92,economics-business,,Hanken School of Economics,Finland,Helsinki,52.3,N/A,N/A,https://www.usnews.com/education/best-global-universities/hanken-school-of-economics-529985
93,economics-business,889,City University London,United Kingdom,London (U.K.),52,41.1,N/A,https://www.usnews.com/education/best-global-universities/city-university-london-503692
94,economics-business,156,Universite de Montreal,Canada,Montreal,51.7,65.9,"38,189",https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159
95,economics-business,140,Purdue University West Lafayette Campus,United States,West Lafayette,51.2,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
96,economics-business,209,Royal Melbourne Institute of Technology (RMIT),Australia,Melbourne (Australia),50.9,62.5,"32,692",https://www.usnews.com/education/best-global-universities/royal-melbourne-institute-of-technology-rmit-503858
97,economics-business,,Stockholm School of Economics,Sweden,Stockholm,50.9,N/A,N/A,https://www.usnews.com/education/best-global-universities/stockholm-school-of-economics-500587
98,economics-business,32,Washington University (WUSTL),United States,St. Louis,50.8,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
99,economics-business,300,Western University (University of Western Ontario),Canada,London (Canada),50.8,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
100,economics-business,975,Shanghai University of Finance & Economics,China,Shanghai,50.7,39.3,N/A,https://www.usnews.com/education/best-global-universities/shanghai-university-of-finance-economics-529139
101,economics-business,89,University of Birmingham,United Kingdom,Birmingham (U.K.),50.4,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
102,economics-business,118,Carnegie Mellon University,United States,Pittsburgh,50.3,68.7,N/A,https://www.usnews.com/education/best-global-universities/carnegie-mellon-university-211440
103,economics-business,136,University of Alberta,Canada,Edmonton,50.3,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
104,economics-business,217,Deakin University,Australia,Burwood,50.2,62.1,"43,080",https://www.usnews.com/education/best-global-universities/deakin-university-504884
105,economics-business,119,University of Virginia,United States,Charlottesville,50.2,68.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076
106,economics-business,63,University of Wisconsin Madison,United States,Madison,50.2,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
107,economics-business,122,University of Bologna,Italy,Bologna,50,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
108,economics-business,192,Macquarie University,Australia,North Ryde,49.9,63.4,"30,561",https://www.usnews.com/education/best-global-universities/macquarie-university-502013
109,economics-business,73,University of California Davis,United States,Davis,49.8,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
110,economics-business,112,Lund University,Sweden,Lund,49.5,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
111,economics-business,349,University of Texas Dallas,United States,Richardson,49.3,56.1,"25,464",https://www.usnews.com/education/best-global-universities/university-of-texas-dallas-228787
