ranking,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
215,360,Tokyo Institute of Technology,Japan,Tokyo,48.5,55.7,"9,878",https://www.usnews.com/education/best-global-universities/tokyo-institute-of-technology-504950
216,"1,344","University of Chemistry & Technology, Prague",Czech Republic,Prague,48.4,31.5,"4,006",https://www.usnews.com/education/best-global-universities/university-of-chemistry-technology-prague-529066
217,441,National Technical University of Athens,Greece,Athens (Greece),48.2,53.4,N/A,https://www.usnews.com/education/best-global-universities/national-technical-university-of-athens-505449
218,764,Indian Institute of Technology (IIT) - Kharagpur,India,Kharagpur,48.1,44.1,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kharagpur-500533
219,"1,446",Qilu University of Technology,China,Jinan,47.9,29.0,N/A,https://www.usnews.com/education/best-global-universities/qilu-university-of-technology-529482
220,463,University of Salerno,Italy,Fisciano,47.9,52.8,"26,289",https://www.usnews.com/education/best-global-universities/university-of-salerno-502531
221,583,Indian Institute of Technology (IIT) - Bombay,India,Mumbai,47.8,48.7,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-bombay-501259
222,215,University of Ottawa,Canada,Ottawa,47.8,62.2,"36,670",https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
223,698,Pusan National University,South Korea,Busan,47.7,45.7,N/A,https://www.usnews.com/education/best-global-universities/pusan-national-university-501725
224,74,University of Illinois Urbana-Champaign,United States,Champaign,47.7,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
225,879,Iran University Science & Technology,Iran,Tehran,47.6,41.3,"15,436",https://www.usnews.com/education/best-global-universities/iran-university-science-technology-505518
226,520,Kyung Hee University,South Korea,Seoul,47.1,50.5,"20,504",https://www.usnews.com/education/best-global-universities/kyung-hee-university-501161
227,615,Technical University of Darmstadt,Germany,Darmstadt,47.0,48.0,"15,526",https://www.usnews.com/education/best-global-universities/technical-university-of-darmstadt-506035
228,"1,132",Xiangtan University,China,Xiangtan,47.0,35.8,N/A,https://www.usnews.com/education/best-global-universities/xiangtan-university-529020
229,231,University of Newcastle,Australia,Callaghan,46.9,61.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-newcastle-500363
230,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,46.9,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
231,"1,483",Changzhou University,China,Changzhou,46.6,28.1,N/A,https://www.usnews.com/education/best-global-universities/changzhou-university-529351
232,48,Sorbonne Universite,France,Paris,46.5,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
233,708,Tarbiat Modares University,Iran,Tehran,46.5,45.5,N/A,https://www.usnews.com/education/best-global-universities/tarbiat-modares-university-528825
234,405,Universidad Nacional Autonoma de Mexico,Mexico,Mexico City,46.4,54.3,"172,729",https://www.usnews.com/education/best-global-universities/universidad-nacional-autonoma-de-mexico-502101
235,487,Universidade Nova de Lisboa,Portugal,Lisbon,46.3,51.7,"20,996",https://www.usnews.com/education/best-global-universities/universidade-nova-de-lisboa-506121
236,547,Universiti Putra Malaysia,Malaysia,Serdang,46.2,49.8,"18,365",https://www.usnews.com/education/best-global-universities/universiti-putra-malaysia-500789
237,60,Universite Paris Saclay,France,Saint-Aubin,45.5,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
238,"1,309",Henan Polytechnic University,China,Jiaozuo,44.6,32.0,N/A,https://www.usnews.com/education/best-global-universities/henan-polytechnic-university-529521
239,943,Institut National Polytechnique de Toulouse,France,Toulouse,44.5,40.0,N/A,https://www.usnews.com/education/best-global-universities/institut-national-polytechnique-de-toulouse-505784
240,140,Kyoto University,Japan,Kyoto,44.1,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
241,598,Babol Noshirvani University of Technology,Iran,Babol,43.8,48.3,"6,180",https://www.usnews.com/education/best-global-universities/babol-noshirvani-university-of-technology-529310
242,739,Isfahan University of Technology,Iran,Isfahan,43.8,44.6,"11,323",https://www.usnews.com/education/best-global-universities/isfahan-university-of-technology-502590
243,300,University of Duisburg Essen,Germany,Essen,43.5,58.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-duisburg-essen-505327
244,"1,506",Tianjin University Science & Technology,China,Tianjin,43.0,27.7,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-science-technology-529285
245,935,University of Regina,Canada,Regina,43.0,40.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-regina-499970
246,725,Heriot Watt University,United Kingdom,Edinburgh,42.9,45.1,"9,885",https://www.usnews.com/education/best-global-universities/heriot-watt-university-506192
247,821,Shiraz University,Iran,Shiraz,42.8,42.5,N/A,https://www.usnews.com/education/best-global-universities/shiraz-university-500400
248,801,Otto von Guericke University,Germany,Magdeburg,42.7,43.2,N/A,https://www.usnews.com/education/best-global-universities/otto-von-guericke-university-528861
249,341,Universite Claude Bernard Lyon 1,France,Villeurbanne,42.5,56.5,"28,253",https://www.usnews.com/education/best-global-universities/universite-claude-bernard-lyon-1-500870
250,"1,046",Ferdowsi University Mashhad,Iran,Mashhad,42.4,37.7,N/A,https://www.usnews.com/education/best-global-universities/ferdowsi-university-mashhad-502854
