0,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url,,,,,1
96,infectious-diseases,175,University of Calgary,Canada,Calgary,48.8,64.2,"33,560",https://www.usnews.com/education/best-global-universities/university-of-calgary-499975,,,,,
97,infectious-diseases,"1,251",Institute of Tropical Medicine (ITM),Belgium,Antwerp,48.7,33.3,N/A,https://www.usnews.com/education/best-global-universities/institute-of-tropical-medicine-itm-529905,,,,,
98,infectious-diseases,138,University of Bonn,Germany,Bonn,48.3,67,"27,210",https://www.usnews.com/education/best-global-universities/university-of-bonn-504578,,,,,
99,infectious-diseases,99,University of Helsinki,Finland,Helsinki,48.3,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989,,,,,
100,infectious-diseases,667,University of Texas Medical Branch Galveston,United States,Galveston,47.8,46.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-medical-branch-galveston-228653,,,,,
101,infectious-diseases,93,University of Bristol,United Kingdom,Bristol,47.6,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342,,,,,
102,infectious-diseases,33,King's College London,United Kingdom,London (U.K.),47.3,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330,,,,,
103,infectious-diseases,104,University of Southampton,United Kingdom,Southampton,47.2,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892,,,,,
104,infectious-diseases,47,University of Munich,Germany,Munich,46.8,75.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-munich-500951,,,,,
105,infectious-diseases,182,Eberhard Karls University of Tubingen,Germany,Tubingen,46.7,63.9,N/A,https://www.usnews.com/education/best-global-universities/eberhard-karls-university-of-tubingen-503424,,,,,
106,infectious-diseases,304,Stellenbosch University,South Africa,Stellenbosch,46.7,58.1,"24,907",https://www.usnews.com/education/best-global-universities/stellenbosch-university-500980,,,,,
107,infectious-diseases,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),46.6,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683,,,,,
108,infectious-diseases,73,University of California Davis,United States,Davis,46.6,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644,,,,,
109,infectious-diseases,269,University of Texas Health Science Center Houston,United States,Houston,46.4,59.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-health-science-center-houston-229300,,,,,
110,infectious-diseases,129,Brown University,United States,Providence,45.6,67.5,"10,037",https://www.usnews.com/education/best-global-universities/brown-university-217156,,,,,
111,infectious-diseases,100,Queen Mary University London,United Kingdom,London (U.K.),45.1,70.2,"20,485",https://www.usnews.com/education/best-global-universities/queen-mary-university-london-503389,,,,,
112,infectious-diseases,413,Universidade Federal do Rio de Janeiro,Brazil,Rio de Janeiro,44.4,54.1,"45,964",https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-de-janeiro-504608,,,,,
113,infectious-diseases,89,University of Birmingham,United Kingdom,Birmingham (U.K.),44.4,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524,,,,,
114,infectious-diseases,517,Tehran University of Medical Sciences,Iran,Tehran,44.3,50.6,"11,605",https://www.usnews.com/education/best-global-universities/tehran-university-of-medical-sciences-503294,,,,,
115,infectious-diseases,226,Universite Libre de Bruxelles,Belgium,Brussels,44.1,61.6,"28,290",https://www.usnews.com/education/best-global-universities/universite-libre-de-bruxelles-505303,,,,,
116,infectious-diseases,74,Leiden University,Netherlands,Leiden,44,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069,,,,,
117,infectious-diseases,129,Seoul National University (SNU),South Korea,Seoul,44,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456,,,,,
118,infectious-diseases,337,Complutense University of Madrid,Spain,Madrid,43.9,56.7,"61,128",https://www.usnews.com/education/best-global-universities/complutense-university-of-madrid-506527,,,,,
119,infectious-diseases,143,Autonomous University of Barcelona,Spain,Barcelona,43.4,66.8,"31,933",https://www.usnews.com/education/best-global-universities/autonomous-university-of-barcelona-505700,,,,,
120,infectious-diseases,143,Rutgers State University New Brunswick,United States,Piscataway Township,43,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380,,,,,
121,infectious-diseases,290,Universite de Bordeaux,France,Talence,41.5,58.9,"53,757",https://www.usnews.com/education/best-global-universities/universite-de-bordeaux-528820,,,,,
