0,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url,,,,,1
173,infectious-diseases,292,Vrije Universiteit Brussel,Belgium,Elsene,28.4,58.8,"14,284",https://www.usnews.com/education/best-global-universities/vrije-universiteit-brussel-504942,,,,,
174,infectious-diseases,959,Charles Darwin University,Australia,Casuarina,28.2,39.7,N/A,https://www.usnews.com/education/best-global-universities/charles-darwin-university-528963,,,,,
175,infectious-diseases,341,Universite Claude Bernard Lyon 1,France,Villeurbanne,27.6,56.5,"28,253",https://www.usnews.com/education/best-global-universities/universite-claude-bernard-lyon-1-500870,,,,,
176,infectious-diseases,209,Central South University,China,Changsha,27.5,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467,,,,,
177,infectious-diseases,180,University of Iowa,United States,Iowa City,26.8,64,"29,257",https://www.usnews.com/education/best-global-universities/university-of-iowa-153658,,,,,
178,infectious-diseases,170,University of Rochester,United States,Rochester,26.8,64.8,"10,364",https://www.usnews.com/education/best-global-universities/university-of-rochester-195030,,,,,
179,infectious-diseases,215,University of Ottawa,Canada,Ottawa,26.5,62.2,"36,670",https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972,,,,,
180,infectious-diseases,55,Ohio State University,United States,Columbus,26,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796,,,,,
181,infectious-diseases,304,Sichuan University,China,Chengdu,25.9,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145,,,,,
182,infectious-diseases,84,Pennsylvania State University,United States,University Park,25.8,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777,,,,,
183,infectious-diseases,202,Universidade de Lisboa,Portugal,Lisbon,25.8,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120,,,,,
184,infectious-diseases,450,Tulane University,United States,New Orleans,25.6,53.2,"11,220",https://www.usnews.com/education/best-global-universities/tulane-university-160755,,,,,
185,infectious-diseases,"1,106",Uniformed Services University of the Health Sciences - USA,United States,Bethesda,25.6,36.4,N/A,https://www.usnews.com/education/best-global-universities/uniformed-services-university-of-the-health-sciences-usa-528993,,,,,
186,infectious-diseases,948,Universidad Peruana Cayetano Heredia,Peru,Lima,24.8,39.9,N/A,https://www.usnews.com/education/best-global-universities/universidad-peruana-cayetano-heredia-529357,,,,,
187,infectious-diseases,178,University of Freiburg,Germany,Freiburg,24.4,64.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-freiburg-503940,,,,,
188,infectious-diseases,167,University of Utah,United States,Salt Lake City,24.4,65.4,"30,967",https://www.usnews.com/education/best-global-universities/university-of-utah-230764,,,,,
189,infectious-diseases,441,University of Saskatchewan,Canada,Saskatoon,24,53.4,"17,741",https://www.usnews.com/education/best-global-universities/university-of-saskatchewan-499969,,,,,
190,infectious-diseases,209,University of Turin,Italy,Turin,24,62.5,"58,463",https://www.usnews.com/education/best-global-universities/university-of-turin-502528,,,,,
191,infectious-diseases,250,University of Illinois Chicago,United States,Chicago,23.6,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-chicago-145600,,,,,
192,infectious-diseases,226,Universiti Malaya,Malaysia,Kuala Lumpur,23.4,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730,,,,,
193,infectious-diseases,487,Universidade Nova de Lisboa,Portugal,Lisbon,23.3,51.7,"20,996",https://www.usnews.com/education/best-global-universities/universidade-nova-de-lisboa-506121,,,,,
194,infectious-diseases,653,Universite Paris-Est-Creteil-Val-de-Marne (UPEC),France,Creteil,23.2,46.8,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-est-creteil-val-de-marne-upec-528863,,,,,
195,infectious-diseases,547,Chulalongkorn University,Thailand,Bangkok,23.1,49.8,"34,095",https://www.usnews.com/education/best-global-universities/chulalongkorn-university-505636,,,,,
196,infectious-diseases,263,Sungkyunkwan University (SKKU),South Korea,Seoul,23,60,"23,399",https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-skku-500193,,,,,
197,infectious-diseases,250,University of Florence,Italy,Florence,22.9,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-florence-501033,,,,,
198,infectious-diseases,520,University of Sevilla,Spain,Seville,22.7,50.5,"49,155",https://www.usnews.com/education/best-global-universities/university-of-sevilla-502822,,,,,
199,infectious-diseases,"1,002",Universidade Federal da Bahia,Brazil,Cruz Das Almas,22.3,38.7,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-da-bahia-528977,,,,,
200,infectious-diseases,486,Rush University,United States,Chicago,22.1,51.8,N/A,https://www.usnews.com/education/best-global-universities/rush-university-148511,,,,,
