ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
42,cardiac-cardiovascular,441,University of Saskatchewan,Canada,Saskatoon,70,53.4,"17,741",https://www.usnews.com/education/best-global-universities/university-of-saskatchewan-499969
43,cardiac-cardiovascular,653,Semmelweis University,Hungary,Budapest,69.8,46.8,"9,860",https://www.usnews.com/education/best-global-universities/semmelweis-university-502811
44,cardiac-cardiovascular,48,Sorbonne Universite,France,Paris,69.6,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
45,cardiac-cardiovascular,14,University of California Los Angeles,United States,Los Angeles,69.4,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
46,cardiac-cardiovascular,54,McGill University,Canada,Montreal,68.9,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
47,cardiac-cardiovascular,109,Aarhus University,Denmark,Aarhus,68.3,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
48,cardiac-cardiovascular,74,Leiden University,Netherlands,Leiden,68.2,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
49,cardiac-cardiovascular,28,University of Sydney,Australia,Sydney,68.1,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
50,cardiac-cardiovascular,50,KU Leuven,Belgium,Leuven,67.9,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
51,cardiac-cardiovascular,57,University of Minnesota Twin Cities,United States,Minneapolis,67.7,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
52,cardiac-cardiovascular,136,Baylor College of Medicine,United States,Houston,67.4,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223
53,cardiac-cardiovascular,432,Medical University of South Carolina,United States,Charleston,66.6,53.6,N/A,https://www.usnews.com/education/best-global-universities/medical-university-of-south-carolina-218335
54,cardiac-cardiovascular,250,National & Kapodistrian University of Athens,Greece,Athens (Greece),66.6,60.6,N/A,https://www.usnews.com/education/best-global-universities/national-kapodistrian-university-of-athens-504988
55,cardiac-cardiovascular,136,University of Alberta,Canada,Edmonton,66.3,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
56,cardiac-cardiovascular,174,University of Colorado Anschutz Medical Campus,United States,Aurora,66.2,64.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-anschutz-medical-campus-529678
57,cardiac-cardiovascular,47,University of Munich,Germany,Munich,66.1,75.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-munich-500951
58,cardiac-cardiovascular,129,London School of Hygiene & Tropical Medicine,United Kingdom,London (U.K.),65.7,67.5,N/A,https://www.usnews.com/education/best-global-universities/london-school-of-hygiene-tropical-medicine-503353
59,cardiac-cardiovascular,89,University of Birmingham,United Kingdom,Birmingham (U.K.),65.7,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
60,cardiac-cardiovascular,86,University of Barcelona,Spain,Barcelona,65.4,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261
61,cardiac-cardiovascular,20,University of California San Diego,United States,La Jolla,65.4,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
62,cardiac-cardiovascular,44,Utrecht University,Netherlands,Utrecht,65.4,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
63,cardiac-cardiovascular,156,University of Milan,Italy,Milan,65.2,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
64,cardiac-cardiovascular,160,University of Alabama Birmingham,United States,Birmingham (U.S.),65,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-alabama-birmingham-100663
65,cardiac-cardiovascular,32,Washington University (WUSTL),United States,St. Louis,65,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
66,cardiac-cardiovascular,372,Baylor University,United States,Waco,64.9,55.2,N/A,https://www.usnews.com/education/best-global-universities/baylor-university-223232
67,cardiac-cardiovascular,120,Universidade de Sao Paulo,Brazil,Sao Paulo,64.7,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
68,cardiac-cardiovascular,186,Maastricht University,Netherlands,Maastricht,64.6,63.6,N/A,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
69,cardiac-cardiovascular,416,St Georges University London,United Kingdom,London (U.K.),64.6,54,"3,535",https://www.usnews.com/education/best-global-universities/st-georges-university-london-502037
70,cardiac-cardiovascular,146,University of Gothenburg,Sweden,Gothenburg,64.6,66.6,"20,901",https://www.usnews.com/education/best-global-universities/university-of-gothenburg-501869
71,cardiac-cardiovascular,215,University of Ottawa,Canada,Ottawa,64.2,62.2,"36,670",https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
72,cardiac-cardiovascular,26,National University of Singapore,Singapore,Singapore,63.8,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
73,cardiac-cardiovascular,702,University of Missouri Kansas City,United States,"Kansas City (Missouri, U.S.)",63.8,45.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-missouri-kansas-city-178402
