ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
233,energy-fuels,794,Harbin Engineering University,China,Harbin,30,43.3,"29,861",https://www.usnews.com/education/best-global-universities/harbin-engineering-university-528986
234,energy-fuels,140,Purdue University West Lafayette Campus,United States,West Lafayette,29.9,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
235,energy-fuels,702,Nanjing Normal University,China,Nanjing,29.7,45.6,N/A,https://www.usnews.com/education/best-global-universities/nanjing-normal-university-528982
236,energy-fuels,889,National Taiwan University of Science & Technology,Taiwan,Taipei City,29.7,41.1,"8,907",https://www.usnews.com/education/best-global-universities/national-taiwan-university-of-science-technology-501875
237,energy-fuels,"1,153",Yildiz Technical University,Turkey,Istanbul,29.7,35.3,"25,532",https://www.usnews.com/education/best-global-universities/yildiz-technical-university-528878
238,energy-fuels,48,Sorbonne Universite,France,Paris,29.6,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
239,energy-fuels,662,Ocean University of China,China,Qingdao,29,46.6,N/A,https://www.usnews.com/education/best-global-universities/ocean-university-of-china-502491
240,energy-fuels,605,Indian Institute of Technology (IIT) - Madras,India,Chennai,28.9,48.2,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-madras-502278
241,energy-fuels,34,University of Edinburgh,United Kingdom,Edinburgh,28.8,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
242,energy-fuels,"1,361",Anna University Chennai,India,Chennai,28.7,31,N/A,https://www.usnews.com/education/best-global-universities/anna-university-chennai-529021
243,energy-fuels,"1,013",Universidad de Castilla-La Mancha,Spain,Real,28.5,38.5,N/A,https://www.usnews.com/education/best-global-universities/universidad-de-castilla-la-mancha-505673
244,energy-fuels,"1,225",Hubei University,China,Wuhan,28.1,33.8,N/A,https://www.usnews.com/education/best-global-universities/hubei-university-529080
245,energy-fuels,948,Beijing Forestry University,China,Beijing,28,39.9,N/A,https://www.usnews.com/education/best-global-universities/beijing-forestry-university-528815
246,energy-fuels,725,Heriot Watt University,United Kingdom,Edinburgh,28,45.1,"9,885",https://www.usnews.com/education/best-global-universities/heriot-watt-university-506192
247,energy-fuels,385,University of Perugia,Italy,Perugia,28,54.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-perugia-504697
248,energy-fuels,379,University of Strathclyde,United Kingdom,Glasgow,27.9,55,N/A,https://www.usnews.com/education/best-global-universities/university-of-strathclyde-504736
249,energy-fuels,"1,216",Xi'an University of Architecture & Technology,China,Xi'an,27.7,34.1,N/A,https://www.usnews.com/education/best-global-universities/xian-university-of-architecture-technology-529487
250,energy-fuels,104,University of Southampton,United Kingdom,Southampton,27.5,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
