ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
139,civil-engineering,286,State University of New York (SUNY) Buffalo,United States,Buffalo,38.2,59,"27,393",https://www.usnews.com/education/best-global-universities/state-university-of-new-york-suny-buffalo-196088
140,civil-engineering,89,University of Birmingham,United Kingdom,Birmingham (U.K.),38.1,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
141,civil-engineering,104,University of Southampton,United Kingdom,Southampton,37.7,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
142,civil-engineering,57,University of Maryland College Park,United States,College Park,37.6,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
143,civil-engineering,377,Shandong University of Science & Technology,China,Qingdao,37.5,55.1,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-of-science-technology-529480
144,civil-engineering,570,Universitat Politecnica de Valencia,Spain,Valencia,37.3,49.1,"23,607",https://www.usnews.com/education/best-global-universities/universitat-politecnica-de-valencia-501850
145,civil-engineering,759,Nanjing Forestry University,China,Nanjing,37.2,44.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-forestry-university-529506
146,civil-engineering,583,Indian Institute of Technology (IIT) - Bombay,India,Mumbai,36.9,48.7,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-bombay-501259
147,civil-engineering,618,Northeastern University - China,China,Shenyang,36.9,47.9,"39,155",https://www.usnews.com/education/best-global-universities/northeastern-university-china-514931
148,civil-engineering,70,University of Colorado Boulder,United States,Boulder,36.9,73.1,"34,928",https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614
149,civil-engineering,34,University of Edinburgh,United Kingdom,Edinburgh,36.4,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
150,civil-engineering,512,China University of Petroleum,China,Qingdao,36.3,50.7,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-petroleum-500186
151,civil-engineering,"1,172",K. N. Toosi University of Technology,Iran,Tehran,36,34.8,N/A,https://www.usnews.com/education/best-global-universities/k-n-toosi-university-of-technology-529705
152,civil-engineering,812,Hefei University of Technology,China,Hefei,35.9,42.9,N/A,https://www.usnews.com/education/best-global-universities/hefei-university-of-technology-528958
153,civil-engineering,564,Universidad Politecnica de Madrid,Spain,Madrid,35.9,49.2,N/A,https://www.usnews.com/education/best-global-universities/universidad-politecnica-de-madrid-500155
154,civil-engineering,292,Yonsei University,South Korea,Seoul,35.8,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
155,civil-engineering,896,Indian Institute of Technology (IIT) - Roorkee,India,Roorkee,35.7,41,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-roorkee-528828
156,civil-engineering,643,Istanbul Technical University,Turkey,Istanbul,35.5,47.1,"18,562",https://www.usnews.com/education/best-global-universities/istanbul-technical-university-503684
157,civil-engineering,203,Griffith University,Australia,Nathan,35.1,62.8,"35,900",https://www.usnews.com/education/best-global-universities/griffith-university-501686
158,civil-engineering,63,University of Wisconsin Madison,United States,Madison,34.9,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
159,civil-engineering,416,Technische Universitat Wien,Austria,Vienna,34.6,54,N/A,https://www.usnews.com/education/best-global-universities/technische-universitat-wien-502163
160,civil-engineering,667,Nanjing University of Aeronautics & Astronautics,China,Nanjing,34.4,46.5,"32,238",https://www.usnews.com/education/best-global-universities/nanjing-university-of-aeronautics-astronautics-500835
161,civil-engineering,108,University of Arizona,United States,Tucson,34.4,69.2,"39,797",https://www.usnews.com/education/best-global-universities/university-of-arizona-104179
162,civil-engineering,152,University of Exeter,United Kingdom,Exeter,34.3,66.1,"24,940",https://www.usnews.com/education/best-global-universities/university-of-exeter-502021
163,civil-engineering,409,University of Nebraska Lincoln,United States,Lincoln (U.S.),34.2,54.2,"25,055",https://www.usnews.com/education/best-global-universities/university-of-nebraska-lincoln-181464
164,civil-engineering,409,University of Bath,United Kingdom,Bath,34.1,54.2,"16,730",https://www.usnews.com/education/best-global-universities/university-of-bath-506373
165,civil-engineering,3,Stanford University,United States,Stanford,34,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
166,civil-engineering,432,University of Houston,United States,Houston,33.6,53.6,"46,958",https://www.usnews.com/education/best-global-universities/university-of-houston-225511
167,civil-engineering,"1,281",Xi'an University of Technology,China,Xi'an,33.6,32.6,N/A,https://www.usnews.com/education/best-global-universities/xian-university-of-technology-529477
168,civil-engineering,129,Seoul National University (SNU),South Korea,Seoul,33.5,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
169,civil-engineering,136,University of Alberta,Canada,Edmonton,33.3,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
170,civil-engineering,240,Royal Institute of Technology,Sweden,Stockholm,33.1,61,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
171,civil-engineering,300,Western University (University of Western Ontario),Canada,London (Canada),33.1,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
172,civil-engineering,917,Lehigh University,United States,Bethlehem,32.5,40.6,"6,459",https://www.usnews.com/education/best-global-universities/lehigh-university-213543
173,civil-engineering,429,Universidade de Coimbra,Portugal,Coimbra,32,53.7,"21,429",https://www.usnews.com/education/best-global-universities/universidade-de-coimbra-501040
174,civil-engineering,693,Clemson University,United States,Clemson,30.9,45.9,N/A,https://www.usnews.com/education/best-global-universities/clemson-university-217882
175,civil-engineering,"1,452",Toronto Metropolitan University,Canada,Toronto,30.9,28.8,N/A,https://www.usnews.com/education/best-global-universities/toronto-metropolitan-university-499982
176,civil-engineering,299,Oregon State University,United States,Corvallis,30.7,58.3,N/A,https://www.usnews.com/education/best-global-universities/oregon-state-university-209542
177,civil-engineering,360,Tokyo Institute of Technology,Japan,Tokyo,30.7,55.7,"9,878",https://www.usnews.com/education/best-global-universities/tokyo-institute-of-technology-504950
178,civil-engineering,764,Indian Institute of Technology (IIT) - Kharagpur,India,Kharagpur,30.5,44.1,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kharagpur-500533
179,civil-engineering,789,University of Sherbrooke,Canada,Sherbrooke,29.1,43.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-sherbrooke-506839
