ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
16,education-educational-research,57,University of Maryland College Park,United States,College Park,73.9,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
17,education-educational-research,5,University of Oxford,United Kingdom,Oxford,73.7,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
18,education-educational-research,4,University of California Berkeley,United States,Berkeley,72.8,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
19,education-educational-research,44,Utrecht University,Netherlands,Utrecht,71,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
20,education-educational-research,84,Pennsylvania State University,United States,University Park,70.9,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
21,education-educational-research,889,National Taiwan University of Science & Technology,Taiwan,Taipei City,70.3,41.1,"8,907",https://www.usnews.com/education/best-global-universities/national-taiwan-university-of-science-technology-501875
22,education-educational-research,50,KU Leuven,Belgium,Leuven,69.7,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
23,education-educational-research,156,Arizona State University-Tempe,United States,Tempe,69.5,65.9,"50,027",https://www.usnews.com/education/best-global-universities/arizona-state-university-tempe-104151
24,education-educational-research,37,University of New South Wales Sydney,Australia,Kensington,69.4,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
25,education-educational-research,835,Education University of Hong Kong (EdUHK),Hong Kong,Tai Po,68.7,42.3,N/A,https://www.usnews.com/education/best-global-universities/education-university-of-hong-kong-eduhk-529062
26,education-educational-research,6,University of Washington Seattle,United States,Seattle,68.5,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
27,education-educational-research,123,University of Auckland,New Zealand,Auckland,67.3,68.2,"33,093",https://www.usnews.com/education/best-global-universities/university-of-auckland-503786
28,education-educational-research,27,University of Melbourne,Australia,Parkville,67.2,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
29,education-educational-research,30,Nanyang Technological University,Singapore,Singapore,67.1,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
30,education-educational-research,24,Northwestern University,United States,Evanston,66.5,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
31,education-educational-research,152,Indiana University Bloomington,United States,Bloomington,66,66.1,N/A,https://www.usnews.com/education/best-global-universities/indiana-university-bloomington-151351
32,education-educational-research,70,University of Colorado Boulder,United States,Boulder,65.8,73.1,"34,928",https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614
33,education-educational-research,379,University of Macau,Macau,Taipa,65.8,55,"10,460",https://www.usnews.com/education/best-global-universities/university-of-macau-528951
34,education-educational-research,43,University of Texas Austin,United States,Austin,65.3,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
35,education-educational-research,8,University of Cambridge,United Kingdom,Cambridge (U.K.),65.2,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
36,education-educational-research,269,Beijing Normal University,China,Beijing,65.1,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
37,education-educational-research,160,Curtin University,Australia,Bentley,65,65.8,"29,999",https://www.usnews.com/education/best-global-universities/curtin-university-503377
38,education-educational-research,416,Australian Catholic University,Australia,Melbourne (Australia),64.6,54,"23,728",https://www.usnews.com/education/best-global-universities/australian-catholic-university-529148
39,education-educational-research,34,University of Edinburgh,United Kingdom,Edinburgh,64.1,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
40,education-educational-research,28,University of Sydney,Australia,Sydney,63.9,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
41,education-educational-research,39,University of Amsterdam,Netherlands,Amsterdam,63.8,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
42,education-educational-research,520,University of Jyvaskyla,Finland,Jyvaskyla,63.6,50.5,"10,434",https://www.usnews.com/education/best-global-universities/university-of-jyvaskyla-500627
43,education-educational-research,18,University of Toronto,Canada,Toronto,63.5,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
44,education-educational-research,363,University of South Australia,Australia,Adelaide,62.8,55.6,"23,490",https://www.usnews.com/education/best-global-universities/university-of-south-australia-506290
45,education-educational-research,140,Purdue University West Lafayette Campus,United States,West Lafayette,62.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
46,education-educational-research,35,University of British Columbia,Canada,Vancouver,62.1,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
47,education-educational-research,55,Ohio State University,United States,Columbus,61.2,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
48,education-educational-research,45,University of Pittsburgh,United States,Pittsburgh,61.2,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
49,education-educational-research,15,University of Pennsylvania,United States,Philadelphia,60.8,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
50,education-educational-research,7,Columbia University,United States,New York City,60.6,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
51,education-educational-research,57,University of Minnesota Twin Cities,United States,Minneapolis,60.4,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
52,education-educational-research,98,University of Florida,United States,Gainesville,60.2,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
53,education-educational-research,63,University of Wisconsin Madison,United States,Madison,59.2,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
54,education-educational-research,36,University of Queensland,Australia,Brisbane,58.9,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
55,education-educational-research,119,University of Virginia,United States,Charlottesville,58.9,68.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076
56,education-educational-research,145,University of Nottingham,United Kingdom,Nottingham,58,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
57,education-educational-research,42,University of Copenhagen,Denmark,Copenhagen,57.5,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
58,education-educational-research,889,University of Limerick,Ireland,Limerick,57.1,41.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-limerick-528976
59,education-educational-research,192,Macquarie University,Australia,North Ryde,55.5,63.4,"30,561",https://www.usnews.com/education/best-global-universities/macquarie-university-502013
