ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
85,biotechnology-applied-microbiology,639,National Cheng Kung University,Taiwan,Tainan City,44.1,47.2,"20,080",https://www.usnews.com/education/best-global-universities/national-cheng-kung-university-502356
86,biotechnology-applied-microbiology,116,Michigan State University,United States,East Lansing,43.5,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
87,biotechnology-applied-microbiology,150,University of Basel,Switzerland,Basel,42.7,66.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-basel-502059
88,biotechnology-applied-microbiology,81,University of Tokyo,Japan,Tokyo,42.6,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
89,biotechnology-applied-microbiology,702,South China Agricultural University,China,Guangzhou,42.4,45.6,N/A,https://www.usnews.com/education/best-global-universities/south-china-agricultural-university-529032
90,biotechnology-applied-microbiology,294,Universidade Estadual de Campinas,Brazil,Campinas,42.4,58.7,"31,199",https://www.usnews.com/education/best-global-universities/universidade-estadual-de-campinas-504975
91,biotechnology-applied-microbiology,226,Universiti Malaya,Malaysia,Kuala Lumpur,42.4,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730
92,biotechnology-applied-microbiology,304,Sichuan University,China,Chengdu,42,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
93,biotechnology-applied-microbiology,328,Washington State University,United States,Pullman,41.8,57.2,"29,463",https://www.usnews.com/education/best-global-universities/washington-state-university-236939
94,biotechnology-applied-microbiology,185,University of Naples Federico II,Italy,Naples,41.5,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
95,biotechnology-applied-microbiology,256,Nankai University,China,Nankai,41.4,60.3,"31,322",https://www.usnews.com/education/best-global-universities/nankai-university-505981
96,biotechnology-applied-microbiology,219,South China University of Technology,China,Guangzhou,41.1,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
97,biotechnology-applied-microbiology,87,Free University of Berlin,Germany,Berlin,41,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
98,biotechnology-applied-microbiology,230,North Carolina State University,United States,Raleigh,40.9,61.5,"31,527",https://www.usnews.com/education/best-global-universities/north-carolina-state-university-199193
99,biotechnology-applied-microbiology,759,Nanjing Forestry University,China,Nanjing,40.8,44.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-forestry-university-529506
