,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
177,mechanical-engineering,551,Indian Institute of Science (IISC) - Bangalore,India,Bangalore,17.5,49.6,"3,990",https://www.usnews.com/education/best-global-universities/indian-institute-of-science-iisc-bangalore-505956
178,mechanical-engineering,879,Indian Institute of Technology (IIT) - Kanpur,India,Kanpur,16.5,41.3,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kanpur-506622
179,mechanical-engineering,"1,498",Ecole Centrale de Lyon,France,Ecully,16,27.8,N/A,https://www.usnews.com/education/best-global-universities/ecole-centrale-de-lyon-529054
180,mechanical-engineering,564,Universidad Politecnica de Madrid,Spain,Madrid,15.6,49.2,N/A,https://www.usnews.com/education/best-global-universities/universidad-politecnica-de-madrid-500155
181,mechanical-engineering,618,Universidade Federal de Santa Catarina (UFSC),Brazil,Florianopolis,14.7,47.9,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-santa-catarina-ufsc-500204
182,mechanical-engineering,294,Universidade Estadual de Campinas,Brazil,Campinas,14.6,58.7,"31,199",https://www.usnews.com/education/best-global-universities/universidade-estadual-de-campinas-504975
183,mechanical-engineering,732,Warsaw University of Technology,Poland,Warsaw,14.2,44.9,"26,482",https://www.usnews.com/education/best-global-universities/warsaw-university-of-technology-502920
184,mechanical-engineering,292,Yonsei University,South Korea,Seoul,14.2,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
185,mechanical-engineering,441,Hanyang University,South Korea,Seoul,14,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
186,mechanical-engineering,"1,106",Indian Institute of Technology (IIT) - Guwahati,India,Guwahati,13.5,36.4,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-guwahati-528994
187,mechanical-engineering,282,Universite Toulouse III - Paul Sabatier,France,Toulouse,13.2,59.1,N/A,https://www.usnews.com/education/best-global-universities/universite-toulouse-iii-paul-sabatier-503302
188,mechanical-engineering,"1,327",National Institute of Technology Rourkela,India,Rourkela,12.8,31.7,N/A,https://www.usnews.com/education/best-global-universities/national-institute-of-technology-rourkela-529700
189,mechanical-engineering,"1,281",Xi'an University of Technology,China,Xi'an,10.5,32.6,N/A,https://www.usnews.com/education/best-global-universities/xian-university-of-technology-529477
190,mechanical-engineering,"1,506",Indian Institute of Technology (Indian School of Mines) Dhanbad,India,Dhanbad,10.1,27.7,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-indian-school-of-mines-dhanbad-529410
191,mechanical-engineering,263,Sungkyunkwan University (SKKU),South Korea,Seoul,9.3,60,"23,399",https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-skku-500193
192,mechanical-engineering,821,Shiraz University,Iran,Shiraz,9,42.5,N/A,https://www.usnews.com/education/best-global-universities/shiraz-university-500400
193,mechanical-engineering,317,Technion Israel Institute of Technology,Israel,Haifa,9,57.6,"15,147",https://www.usnews.com/education/best-global-universities/technion-israel-institute-of-technology-505919
194,mechanical-engineering,"1,140",Jiangsu University of Science & Technology,China,Zhenjiang,8.3,35.6,N/A,https://www.usnews.com/education/best-global-universities/jiangsu-university-of-science-technology-529475
195,mechanical-engineering,178,Aix-Marseille Universite,France,Marseille,8.1,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
196,mechanical-engineering,526,Loughborough University,United Kingdom,Loughborough,8.1,50.3,"17,130",https://www.usnews.com/education/best-global-universities/loughborough-university-506503
197,mechanical-engineering,"1,036",Chung Ang University,South Korea,Seoul,7.8,38,N/A,https://www.usnews.com/education/best-global-universities/chung-ang-university-500565
198,mechanical-engineering,920,Universite de Poitiers,France,Poitiers,5.5,40.5,N/A,https://www.usnews.com/education/best-global-universities/universite-de-poitiers-501414
199,mechanical-engineering,"1,734",Lanzhou University of Technology,China,Lanzhou,5.4,22.1,N/A,https://www.usnews.com/education/best-global-universities/lanzhou-university-of-technology-529641
200,mechanical-engineering,639,National Cheng Kung University,Taiwan,Tainan City,1,47.2,"20,080",https://www.usnews.com/education/best-global-universities/national-cheng-kung-university-502356
