,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
72,mechanical-engineering,29,ETH Zurich,Switzerland,Zurich,47.8,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
73,mechanical-engineering,879,Iran University Science & Technology,Iran,Tehran,47.6,41.3,"15,436",https://www.usnews.com/education/best-global-universities/iran-university-science-technology-505518
74,mechanical-engineering,879,Tomsk Polytechnic University,Russia,Tomsk,47.4,41.3,N/A,https://www.usnews.com/education/best-global-universities/tomsk-polytechnic-university-529158
75,mechanical-engineering,812,Hefei University of Technology,China,Hefei,46.9,42.9,N/A,https://www.usnews.com/education/best-global-universities/hefei-university-of-technology-528958
76,mechanical-engineering,36,University of Queensland,Australia,Brisbane,46.9,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
77,mechanical-engineering,136,University of Alberta,Canada,Edmonton,46.6,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
78,mechanical-engineering,185,University of Naples Federico II,Italy,Naples,46,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
79,mechanical-engineering,368,Shandong University,China,Jinan,45.9,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
80,mechanical-engineering,643,Beijing University of Technology,China,Beijing,45.8,47.1,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-technology-505552
81,mechanical-engineering,247,Universidade do Porto,Portugal,Porto,45.2,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
82,mechanical-engineering,794,Harbin Engineering University,China,Harbin,44.8,43.3,"29,861",https://www.usnews.com/education/best-global-universities/harbin-engineering-university-528986
83,mechanical-engineering,199,RWTH Aachen University,Germany,Aachen,44.1,63,"39,738",https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
84,mechanical-engineering,37,Monash University,Australia,Clayton,43.9,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
85,mechanical-engineering,349,Kyushu University,Japan,Fukuoka,43.6,56.1,N/A,https://www.usnews.com/education/best-global-universities/kyushu-university-505482
86,mechanical-engineering,146,University of Liverpool,United Kingdom,Liverpool,43.6,66.6,"27,145",https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611
87,mechanical-engineering,54,McGill University,Canada,Montreal,43.5,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
88,mechanical-engineering,8,University of Cambridge,United Kingdom,Cambridge (U.K.),43.4,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
89,mechanical-engineering,953,Institut National des Sciences Appliquees de Lyon - INSA Lyon,France,Villeurbanne,43.3,39.8,N/A,https://www.usnews.com/education/best-global-universities/institut-national-des-sciences-appliquees-de-lyon-insa-lyon-505713
90,mechanical-engineering,84,Pennsylvania State University,United States,University Park,42.4,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
91,mechanical-engineering,3,Stanford University,United States,Stanford,42.4,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
92,mechanical-engineering,4,University of California Berkeley,United States,Berkeley,42,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
93,mechanical-engineering,112,Lund University,Sweden,Lund,41.7,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
94,mechanical-engineering,531,Nanjing University of Science & Technology,China,Nanjing,41.7,50.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-science-technology-502308
95,mechanical-engineering,104,University of Southampton,United Kingdom,Southampton,41.2,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
96,mechanical-engineering,18,University of Toronto,Canada,Toronto,41.2,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
97,mechanical-engineering,57,University of Maryland College Park,United States,College Park,41.1,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
98,mechanical-engineering,"1,046",Ferdowsi University Mashhad,Iran,Mashhad,40.8,37.7,N/A,https://www.usnews.com/education/best-global-universities/ferdowsi-university-mashhad-502854
99,mechanical-engineering,115,University of Padua,Italy,Padua,40.8,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
