ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
237,endocrinology-metabolism,300,University of Duisburg Essen,Germany,Essen,34.2,58.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-duisburg-essen-505327
238,endocrinology-metabolism,150,University of Basel,Switzerland,Basel,34.1,66.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-basel-502059
239,endocrinology-metabolism,311,Soochow University - China,China,Suzhou,33.8,57.9,"49,131",https://www.usnews.com/education/best-global-universities/soochow-university-china-506714
240,endocrinology-metabolism,"1,567",Shandong First Medical University & Shandong Academy of Medical Sciences,China,Taian,33.4,26.3,N/A,https://www.usnews.com/education/best-global-universities/shandong-first-medical-university-shandong-academy-of-medical-sciences-529729
241,endocrinology-metabolism,468,Universidade Federal de Minas Gerais,Brazil,Belo Horizonte,33.4,52.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-minas-gerais-506043
242,endocrinology-metabolism,163,University of Warwick,United Kingdom,Coventry,32.8,65.7,"23,895",https://www.usnews.com/education/best-global-universities/university-of-warwick-503443
243,endocrinology-metabolism,593,Peking Union Medical College,China,Beijing,32.5,48.4,N/A,https://www.usnews.com/education/best-global-universities/peking-union-medical-college-529794
244,endocrinology-metabolism,826,Shahid Beheshti University Medical Sciences,Iran,Tehran,32.5,42.4,N/A,https://www.usnews.com/education/best-global-universities/shahid-beheshti-university-medical-sciences-501678
245,endocrinology-metabolism,500,Indiana University-Purdue University Indianapolis,United States,Indianapolis,32.4,51.3,N/A,https://www.usnews.com/education/best-global-universities/indiana-university-purdue-university-indianapolis-151111
246,endocrinology-metabolism,286,University of Maryland Baltimore,United States,Baltimore,32,59,N/A,https://www.usnews.com/education/best-global-universities/university-of-maryland-baltimore-163259
247,endocrinology-metabolism,267,Aalborg University,Denmark,Aalborg,31.4,59.8,"16,818",https://www.usnews.com/education/best-global-universities/aalborg-university-501276
248,endocrinology-metabolism,497,Universidade Estadual Paulista,Brazil,Sao Paulo,31.1,51.4,N/A,https://www.usnews.com/education/best-global-universities/universidade-estadual-paulista-503331
249,endocrinology-metabolism,554,Universita della Campania Vanvitelli,Italy,Caserta,30.7,49.5,N/A,https://www.usnews.com/education/best-global-universities/universita-della-campania-vanvitelli-529545
250,endocrinology-metabolism,286,Tohoku University,Japan,Sendai,30.6,59,"17,812",https://www.usnews.com/education/best-global-universities/tohoku-university-500862
